Site	Type	Left	Right	Strand	Transcription-Units
agaSYBCDI	Transcription-Units	3281889	3287025	+	agaSYBCDI
agp	Transcription-Units	1065559	1066857	+	agp
agp terminator	Rho-Independent-Terminators	1066833	1066857	+	agp
agpp	Promoters	1065498	1065559	+	agp
agrA	Transcription-Units	3648063	3648144	+	agrA
agrA terminator	Rho-Independent-Terminators	3648117	3648144	+	agrA
agrAp	Promoters	3648002	3648063	+	agrA
agrB	Transcription-Units	3648294	3648375	+	agrB
AgrB mRNA-binding-site regulating dinQ	mRNA-Binding-Sites	3647864	3647895	-	dinQ
agrB terminator	Rho-Independent-Terminators	3648348	3648375	+	agrB
agrBp	Promoters	3648233	3648294	+	agrB
ahpCF	Transcription-Units	638921	641318	+	ahpCF
ahpCF	Transcription-Units	638693	641318	+	ahpCF
ahpCp1	Promoters	638860	638921	+	ahpCF
ahpCp2	Promoters	638632	638693	+	ahpCF
ahpF	Transcription-Units	639002	641318	+	ahpF
ahpFp	Promoters	638941	639002	+	ahpF
aidB	Transcription-Units	4414247	4415900	+	aidB
aidB	Transcription-Units	4414247	4415900	+	aidB
AidB DNA-binding-site 48 bases upstream of aidBp2	DNA-Binding-Sites	4414186	4414212	+	aidB // aidB
aidBp1	Promoters	4414186	4414247	+	aidB
aidBp2	Promoters	4414186	4414247	+	aidB
ais	Transcription-Units	2365018	2365620	-	ais
aisp4	Promoters	2365756	2365817	-	NA
aisp7	Promoters	2365754	2365815	-	NA
aisp8	Promoters	2365698	2365759	-	NA
alaA	Transcription-Units	2407408	2408778	+	alaA
alaA-yfbR	Transcription-Units	2407561	2409461	+	alaA-yfbR
alaAp7	Promoters	2407353	2407414	+	NA
alaAp9	Promoters	2407347	2407408	+	alaA
alaC	Transcription-Units	2498399	2498295	-	alaC
alaCp	Promoters	2498399	2498460	-	alaC
alaE	Transcription-Units	2799084	2799613	+	alaE
alaEp	Promoters	2799023	2799084	+	alaE
alaEp1	Promoters	2799009	2799070	+	NA
alaEp11	Promoters	2799026	2799087	+	NA
alaS	Transcription-Units	2822090	2822011	-	alaS
AlaS-L-alanine DNA-binding transcriptional repressor DNA-binding-site 6.5 bases upstream of alaSp	DNA-Binding-Sites	2822080	2822114	-	alaS
alaSp	Promoters	2822090	2822151	-	alaS
alaWp	Promoters	2518253	2518314	-	alaWX
alaWX	Transcription-Units	2518253	2518231	-	alaWX
alaWX terminator	Rho-Independent-Terminators	2518002	2518041	-	alaWX
alaXp2	Promoters	2518279	2518340	-	NA
alaXp4	Promoters	2518306	2518367	-	NA
alaXp5	Promoters	2518259	2518320	-	NA
aldA	Transcription-Units	1488190	1489671	+	aldA
aldAp	Promoters	1488129	1488190	+	aldA
aldB	Transcription-Units	3756535	3756511	-	aldB
aldB terminator	Rho-Independent-Terminators	3754906	3754941	-	aldB
aldBp	Promoters	3756535	3756596	-	aldB
alkA	Transcription-Units	2147559	2147540	-	alkA
alkA	Transcription-Units	2147559	2147540	-	alkA
alkAp	Promoters	2147559	2147620	-	alkA
alkAp2	Promoters	2147559	2147620	-	alkA
alkB	Transcription-Units	2309445	2309341	-	alkB
alkBp	Promoters	2309445	2309506	-	alkB
allA	Transcription-Units	532390	532933	+	allA
allAp	Promoters	532329	532390	+	allA
allB	Transcription-Units	538944	540508	+	allB
allB	Transcription-Units	539041	540508	+	allB
allB	Transcription-Units	538986	540508	+	allB
allBp1	Promoters	538980	539041	+	allB
allBp2	Promoters	538925	538986	+	allB
allBp3	Promoters	538883	538944	+	allB
allDC-ylbA	Transcription-Units	546411	546363	-	allDC-ylbA
allDp	Promoters	546411	546472	-	allDC-ylbA
allR	Transcription-Units	533011	533826	+	allR
AllR-allantoin DNA-binding-site 20 bases upstream of gclp	DNA-Binding-Sites	533879	533896	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
AllR-allantoin DNA-binding-site 37 bases upstream of allSp	DNA-Binding-Sites	532329	532346	-	allS // allA
allS	Transcription-Units	532300	532221	-	allS
allSp	Promoters	532300	532361	-	allS
alpA	Transcription-Units	2758644	2758856	+	alpA
alr	Transcription-Units	4265652	4266861	+	alr
alr	Transcription-Units	4265589	4266861	+	alr
alrp1	Promoters	4265528	4265589	+	alr
alrp2	Promoters	4265591	4265652	+	alr
alsBACE	Transcription-Units	4307783	4312042	-	alsBACE
alsEp2	Promoters	4308664	4308725	-	NA
alsEp3	Promoters	4308667	4308728	-	NA
alsK	Transcription-Units	4306870	4307799	-	alsK
alsKp1	Promoters	4307995	4308056	-	NA
alsRBACE	Transcription-Units	4313137	4312991	-	alsRBACE
alsRBACE	Transcription-Units	4313132	4312991	-	alsRBACE
alsRp1	Promoters	4313132	4313193	-	alsRBACE
alsRp2	Promoters	4313137	4313198	-	alsRBACE
alx	Transcription-Units	3238580	3239545	+	alx
alxp3	Promoters	3238494	3238555	+	NA
alxp4	Promoters	3238309	3238370	+	NA
alxp5	Promoters	3238310	3238371	+	NA
amiA-hemF	Transcription-Units	2552241	2554124	+	amiA-hemF
amiAp	Promoters	2552180	2552241	+	amiA-hemF
amiC	Transcription-Units	2947757	2949010	-	amiC
amiCp6	Promoters	2949189	2949250	-	NA
amiCp7	Promoters	2949066	2949127	-	NA
amn	Transcription-Units	2055031	2056515	+	amn
amnp1	Promoters	2054970	2055031	+	amn
ampC	Transcription-Units	4379003	4378944	-	ampC
ampC terminator	Rho-Independent-Terminators	4377783	4377800	-	ampC
ampCp	Promoters	4379003	4379064	-	ampC
ampD	Promoters	118642	118703	+	ampDE
ampDE	Transcription-Units	118703	120135	+	ampDE
ampDp5	Promoters	118620	118681	+	NA
ampG	Transcription-Units	452070	453545	-	ampG
ampGp4	Promoters	453686	453747	-	NA
ampGp5	Promoters	453627	453688	-	NA
ampGp6	Promoters	453684	453745	-	NA
ampH	Transcription-Units	396319	396287	-	ampH
ampH	Transcription-Units	396363	396287	-	ampH
ampHp1	Promoters	396363	396424	-	ampH
ampHp2	Promoters	396319	396380	-	ampH
amyA	Transcription-Units	2006115	2007674	+	amyA
amyA terminator	Rho-Independent-Terminators	2007642	2007674	+	amyA
amyAp	Promoters	2006054	2006115	+	amyA
anmK	Transcription-Units	1718493	1719602	-	anmK
anmKp9	Promoters	1719673	1719734	-	NA
ansA-pncA	Transcription-Units	1850860	1852528	+	ansA-pncA
ansB	Transcription-Units	3100790	3100728	-	ansB
ansB	Transcription-Units	3100751	3100728	-	ansB
ansB terminator	Rho-Independent-Terminators	3099654	3099674	-	ansB // ansB
ansBp1	Promoters	3100790	3100851	-	ansB
ansBp2	Promoters	3100751	3100812	-	ansB
ansP	Transcription-Units	1526011	1525980	-	ansP
ansP	Transcription-Units	1526020	1525980	-	ansP
ansPp1	Promoters	1526011	1526072	-	ansP
ansPp2	Promoters	1526020	1526081	-	ansP
apaGH	Transcription-Units	52034	51606	-	apaGH
apaGp	Promoters	52034	52095	-	apaGH
apaHp4	Promoters	51293	51354	-	NA
apbEp1	Promoters	2311594	2311655	-	NA
aphA	Transcription-Units	4269414	4270127	+	aphA
appA	Transcription-Units	1040599	1041915	+	appA
appAp	Promoters	1040538	1040599	+	appA
appCBA-yccB	Transcription-Units	1037710	1041915	+	appCBA-yccB
appCBA-yccB	Transcription-Units	1037710	1041915	+	appCBA-yccB
appCp	Promoters	1037649	1037710	+	appCBA-yccB
appCp2	Promoters	1037649	1037710	+	appCBA-yccB
appY	Transcription-Units	583580	584430	+	appY
appY	Transcription-Units	583656	584430	+	appY
appY	Transcription-Units	583567	584430	+	appY
appYp1	Promoters	583506	583567	+	appY
appYp2	Promoters	583595	583656	+	appY
appYp3	Promoters	583519	583580	+	appY
apt	Transcription-Units	491310	491963	+	apt
aptp	Promoters	491249	491310	+	apt
aqpZ	Transcription-Units	915352	916047	-	aqpZ
aqpZp2	Promoters	916212	916273	-	NA
aqpZp3	Promoters	916133	916194	-	NA
araBAD	Transcription-Units	70075	70048	-	araBAD
araBAD terminator	Rho-Independent-Terminators	65800	65821	-	araBAD
araBp	Promoters	70075	70136	-	araBAD
araC	Transcription-Units	70223	71265	+	araC
AraC DNA-binding-site 128 bases downstream of araCp	DNA-Binding-Sites	70342	70359	+	araC // araBAD
AraC DNA-binding-site 84 bases upstream of araCp	DNA-Binding-Sites	70131	70148	+	araC // araBAD
AraC DNA-binding-site regulating ytfQRT-yjfF	DNA-Binding-Sites	4449772	4449791	+	ytfQRT-yjfF
AraC-arabinose DNA-binding-site 10 bases upstream of araCp	DNA-Binding-Sites	70205	70222	+	araC // araBAD
AraC-arabinose DNA-binding-site 105 bases upstream of araCp	DNA-Binding-Sites	70110	70127	+	araC // araBAD
AraC-arabinose DNA-binding-site 145 bases upstream of araFp3	DNA-Binding-Sites	1986375	1986392	-	araFGH // araFGH
AraC-arabinose DNA-binding-site 166 bases upstream of araFp3	DNA-Binding-Sites	1986396	1986413	-	araFGH // araFGH
AraC-arabinose DNA-binding-site 25 bases upstream of xylAp	DNA-Binding-Sites	3730824	3730841	-	xylAB
AraC-arabinose DNA-binding-site 31 bases upstream of araCp	DNA-Binding-Sites	70184	70201	+	araC // araBAD
AraC-arabinose DNA-binding-site 43 bases upstream of araJp	DNA-Binding-Sites	412564	412581	-	araJ
AraC-arabinose DNA-binding-site 44 bases upstream of araEp	DNA-Binding-Sites	2982244	2982261	-	araE-ygeA // araE
AraC-arabinose DNA-binding-site 48 bases upstream of xylAp	DNA-Binding-Sites	3730847	3730864	-	xylAB
AraC-arabinose DNA-binding-site 64 bases upstream of araJp	DNA-Binding-Sites	412585	412602	-	araJ
AraC-arabinose DNA-binding-site 65 bases upstream of araEp	DNA-Binding-Sites	2982265	2982282	-	araE-ygeA // araE
AraC-arabinose DNA-binding-site 70 bases upstream of araFp3	DNA-Binding-Sites	1986300	1986317	-	araFGH // araFGH
AraC-arabinose DNA-binding-site 91 bases upstream of araFp3	DNA-Binding-Sites	1986321	1986338	-	araFGH // araFGH
araCp	Promoters	70162	70223	+	araC
araE	Transcription-Units	2982208	2982182	-	araE
araE-ygeA	Transcription-Units	2982208	2982182	-	araE-ygeA
araEp	Promoters	2982208	2982269	-	araE-ygeA // araE
araFGH	Transcription-Units	1986148	1986128	-	araFGH
araFGH	Transcription-Units	1986238	1986128	-	araFGH
araFGH	Transcription-Units	1986238	1986128	-	araFGH
araFp1	Promoters	1986238	1986299	-	araFGH
araFp2	Promoters	1986148	1986209	-	araFGH
araFp3	Promoters	1986238	1986299	-	araFGH
araHp7	Promoters	1983560	1983621	-	NA
araJ	Transcription-Units	412529	412481	-	araJ
araJp	Promoters	412529	412590	-	araJ
arcA	Transcription-Units	4640801	4640306	-	arcA
arcA	Transcription-Units	4640535	4640306	-	arcA
arcA	Transcription-Units	4640681	4640306	-	arcA
arcA	Transcription-Units	4640599	4640306	-	arcA
arcA	Transcription-Units	4640508	4640306	-	arcA
arcA	Transcription-Units	4640688	4640306	-	arcA
arcA	Transcription-Units	4640512	4640306	-	arcA
arcA terminator	Rho-Independent-Terminators	4639539	4639572	-	arcA // arcA // arcA // arcA // arcA // arcA // arcA
ArcA-Pasp54 DNA-binding-site (BS0-9014)	DNA-Binding-Sites	990501	990516	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9446)	DNA-Binding-Sites	1151553	1151568	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9447)	DNA-Binding-Sites	1488205	1488220	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9448)	DNA-Binding-Sites	4640612	4640627	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9449)	DNA-Binding-Sites	4640689	4640704	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9450)	DNA-Binding-Sites	3384517	3384532	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9451)	DNA-Binding-Sites	3384506	3384521	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9452)	DNA-Binding-Sites	2427910	2427925	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9453)	DNA-Binding-Sites	29340	29355	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9454)	DNA-Binding-Sites	2788861	2788876	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9455)	DNA-Binding-Sites	2788839	2788854	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9456)	DNA-Binding-Sites	4429711	4429726	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9457)	DNA-Binding-Sites	771306	771321	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9458)	DNA-Binding-Sites	771272	771287	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9459)	DNA-Binding-Sites	771071	771086	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9460)	DNA-Binding-Sites	771051	771066	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9461)	DNA-Binding-Sites	771040	771055	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9462)	DNA-Binding-Sites	451854	451869	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9463)	DNA-Binding-Sites	451672	451687	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9464)	DNA-Binding-Sites	4366790	4366805	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9465)	DNA-Binding-Sites	4366812	4366827	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9466)	DNA-Binding-Sites	4348986	4349001	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9467)	DNA-Binding-Sites	4349004	4349019	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9468)	DNA-Binding-Sites	4348734	4348749	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9469)	DNA-Binding-Sites	3707882	3707897	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9470)	DNA-Binding-Sites	243375	243390	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9471)	DNA-Binding-Sites	3539889	3539904	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9472)	DNA-Binding-Sites	3539869	3539884	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9473)	DNA-Binding-Sites	954671	954686	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9474)	DNA-Binding-Sites	954751	954766	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9475)	DNA-Binding-Sites	954762	954777	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9476)	DNA-Binding-Sites	2243807	2243822	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9477)	DNA-Binding-Sites	1688458	1688473	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9478)	DNA-Binding-Sites	2942616	2942631	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9479)	DNA-Binding-Sites	2942596	2942611	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9480)	DNA-Binding-Sites	3561922	3561937	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9481)	DNA-Binding-Sites	728904	728919	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9482)	DNA-Binding-Sites	728937	728952	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9483)	DNA-Binding-Sites	728961	728976	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9484)	DNA-Binding-Sites	2313242	2313257	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9485)	DNA-Binding-Sites	2313467	2313482	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9486)	DNA-Binding-Sites	1862733	1862748	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9487)	DNA-Binding-Sites	1862475	1862490	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9488)	DNA-Binding-Sites	1862006	1862021	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9489)	DNA-Binding-Sites	3526215	3526230	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9490)	DNA-Binding-Sites	3526225	3526240	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9491)	DNA-Binding-Sites	2513151	2513166	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9492)	DNA-Binding-Sites	2513125	2513140	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9493)	DNA-Binding-Sites	1300858	1300873	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9494)	DNA-Binding-Sites	1300701	1300716	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9495)	DNA-Binding-Sites	4611145	4611160	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9496)	DNA-Binding-Sites	4611122	4611137	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9497)	DNA-Binding-Sites	1084883	1084898	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9498)	DNA-Binding-Sites	1084894	1084909	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9499)	DNA-Binding-Sites	4004717	4004732	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9500)	DNA-Binding-Sites	4004831	4004846	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9501)	DNA-Binding-Sites	1678079	1678094	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9502)	DNA-Binding-Sites	1678202	1678217	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9503)	DNA-Binding-Sites	893568	893583	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9504)	DNA-Binding-Sites	893498	893513	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9505)	DNA-Binding-Sites	1079154	1079169	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9506)	DNA-Binding-Sites	1360938	1360953	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9507)	DNA-Binding-Sites	3966149	3966164	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9508)	DNA-Binding-Sites	1682040	1682055	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9509)	DNA-Binding-Sites	1681710	1681725	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9510)	DNA-Binding-Sites	3239763	3239778	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9511)	DNA-Binding-Sites	3239862	3239877	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9512)	DNA-Binding-Sites	4160810	4160825	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9513)	DNA-Binding-Sites	4160821	4160836	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9514)	DNA-Binding-Sites	4160667	4160682	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9515)	DNA-Binding-Sites	4196304	4196319	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9516)	DNA-Binding-Sites	98	113	NA	NA
ArcA-Pasp54 DNA-binding-site (BS0-9517)	DNA-Binding-Sites	1388824	1388839	NA	NA
