Position	Strand	Coverage_WT1	Coverage_WT2	Coverage_WT3	MethylPercent_WT1	MethylPercent_WT2	MethylPercent_WT3	Coverage_Mean	MethylPercent_Mean
14573	Plus	50	68	61	1	0.9853	0.9672	59.66666667	0.984166667
14574	Minus	55	45	74	0.9091	0.9778	0.973	58	0.9533
14744	Plus	48	68	62	0.9583	0.9853	0.9032	59.33333333	0.948933333
14745	Minus	54	48	74	1	1	0.9595	58.66666667	0.9865
14751	Plus	46	65	60	0.9565	1	0.9	57	0.952166667
14752	Minus	52	47	71	0.9231	0.9362	0.9718	56.66666667	0.9437
14895	Plus	48	70	60	1	0.9429	0.95	59.33333333	0.9643
14896	Minus	54	47	71	0.9815	1	0.9718	57.33333333	0.984433333
14972	Plus	48	69	63	1	0.942	0.9365	60	0.9595
14973	Minus	51	48	73	0.9804	0.9792	0.9726	57.33333333	0.9774
15382	Plus	45	65	57	0.9333	0.9538	0.9474	55.66666667	0.944833333
15383	Minus	53	40	59	0.8868	0.875	0.9831	50.66666667	0.914966667
15851	Plus	54	69	72	1	0.971	1	65	0.990333333
15852	Minus	56	40	74	1	0.975	0.9865	56.66666667	0.987166667
16539	Plus	50	64	73	0.96	0.9531	0.9726	62.33333333	0.9619
16540	Minus	57	38	76	1	0.9474	0.8684	57	0.9386
16731	Plus	50	64	75	1	0.9531	1	63	0.984366667
16732	Minus	56	44	70	0.9286	0.9773	0.9143	56.66666667	0.940066667
16869	Plus	50	59	74	0.96	0.9322	0.9595	61	0.950566667
16870	Minus	54	42	64	0.9074	1	0.9531	53.33333333	0.9535
17461	Plus	38	63	69	0.9211	0.9841	0.971	56.66666667	0.958733333
17462	Minus	51	36	58	0.8235	0.8889	0.7241	48.33333333	0.812166667
17746	Plus	46	65	63	0.9565	0.9385	0.9683	58	0.954433333
17747	Minus	54	42	73	1	0.9524	0.9315	56.33333333	0.9613
17844	Plus	45	63	63	1	0.9841	0.9841	57	0.9894
17845	Minus	56	42	74	0.9821	1	0.9865	57.33333333	0.989533333
17870	Plus	43	65	63	0.9302	0.9538	0.9841	57	0.956033333
17871	Minus	54	42	74	0.9815	0.9524	1	56.66666667	0.977966667
17948	Plus	45	61	61	0.8889	0.9016	0.9016	55.66666667	0.897366667
17949	Minus	55	40	72	0.9636	1	0.9722	55.66666667	0.9786
17979	Plus	40	65	66	0.95	0.9538	0.9394	57	0.947733333
17980	Minus	54	40	75	1	0.95	0.9733	56.33333333	0.974433333
18362	Plus	49	66	61	0.9796	0.9848	1	58.66666667	0.988133333
18363	Minus	52	51	74	0.9615	0.9412	0.9595	59	0.954066667
18485	Plus	48	66	62	0.9792	0.9848	0.9839	58.66666667	0.982633333
18486	Minus	52	51	68	0.9423	0.9608	0.9706	57	0.9579
18549	Plus	45	66	60	0.9111	0.8788	0.95	57	0.9133
18550	Minus	52	51	64	0.9615	1	0.9531	55.66666667	0.971533333
19156	Plus	45	67	61	0.9111	0.9104	0.9016	57.66666667	0.9077
19157	Minus	54	54	65	0.9444	0.9444	0.9692	57.66666667	0.952666667
20831	Plus	47	70	58	0.8936	0.9857	0.9138	58.33333333	0.931033333
20832	Minus	52	54	58	0.8269	0.9259	0.9483	54.66666667	0.900366667
20879	Plus	46	68	58	0.9783	0.9412	0.9828	57.33333333	0.967433333
20880	Minus	56	56	62	0.9107	0.9464	0.9516	58	0.936233333
20909	Plus	49	71	57	0.9796	0.9859	1	59	0.9885
20910	Minus	58	56	62	0.931	0.9821	0.9194	58.66666667	0.944166667
21735	Plus	48	72	62	1	0.9583	0.9677	60.66666667	0.975333333
21736	Minus	68	62	61	1	0.9516	0.918	63.66666667	0.956533333
22449	Plus	54	70	63	0.963	0.9857	0.9524	62.33333333	0.967033333
22450	Minus	66	57	64	0.9545	0.9123	0.9531	62.33333333	0.939966667
22497	Plus	53	69	62	0.9434	0.971	0.9355	61.33333333	0.949966667
22498	Minus	65	53	64	0.9077	0.9623	0.9375	60.66666667	0.935833333
22694	Plus	51	73	66	0.9608	0.9726	0.9848	63.33333333	0.972733333
22695	Minus	66	58	66	0.9394	0.9483	1	63.33333333	0.962566667
23043	Plus	54	74	61	0.9815	0.973	0.9836	63	0.979366667
23044	Minus	64	59	67	0.9688	0.9661	0.9851	63.33333333	0.973333333
23186	Plus	53	72	63	0.9623	0.9722	0.9841	62.66666667	0.972866667
23187	Minus	66	57	65	0.9394	0.9649	0.8923	62.66666667	0.9322
23217	Plus	51	68	61	0.9608	0.9706	0.9836	60	0.971666667
23218	Minus	65	58	62	0.9538	0.9828	0.9839	61.66666667	0.9735
23352	Plus	52	70	61	0.9808	0.9429	0.9836	61	0.9691
23353	Minus	66	59	64	0.9697	0.9831	0.9531	63	0.968633333
23423	Plus	55	72	64	0.9455	0.9722	0.9688	63.66666667	0.962166667
23424	Minus	65	58	62	0.9692	0.9655	1	61.66666667	0.978233333
23627	Plus	54	76	59	0.9815	0.9605	0.9831	63	0.975033333
23628	Minus	70	59	62	1	1	0.9677	63.66666667	0.989233333
23667	Plus	55	74	63	0.9636	0.9865	0.9841	64	0.978066667
23668	Minus	69	57	60	0.9565	1	0.9667	62	0.9744
23702	Plus	54	75	60	0.9815	0.9733	0.9667	63	0.973833333
23703	Minus	65	59	60	0.9846	0.9322	0.9833	61.33333333	0.9667
23720	Plus	52	77	64	0.9808	0.987	0.9844	64.33333333	0.984066667
23721	Minus	68	59	61	0.9706	0.9831	0.9508	62.66666667	0.968166667
23919	Plus	53	74	65	0.9811	0.9595	0.9846	64	0.975066667
23920	Minus	70	57	60	1	0.9474	0.9667	62.33333333	0.971366667
23936	Plus	52	75	67	1	0.9333	0.9851	64.66666667	0.9728
23937	Minus	71	58	61	0.9859	0.9655	0.9836	63.33333333	0.978333333
23955	Plus	52	72	62	0.9423	0.9583	0.9677	62	0.9561
23956	Minus	72	59	61	0.9722	0.9661	0.9672	64	0.9685
24004	Plus	54	72	65	0.9259	0.9583	0.9846	63.66666667	0.956266667
24005	Minus	67	57	58	0.9403	0.9474	1	60.66666667	0.962566667
24116	Plus	53	67	66	0.9811	1	0.9545	62	0.978533333
24117	Minus	65	59	60	0.9692	0.9831	0.9667	61.33333333	0.973
24320	Plus	52	69	67	0.9808	0.971	1	62.66666667	0.983933333
24321	Minus	63	59	63	1	1	0.9683	61.66666667	0.989433333
24399	Plus	51	74	68	0.9804	0.9324	0.9559	64.33333333	0.956233333
24400	Minus	65	59	60	1	0.9831	1	61.33333333	0.994366667
24444	Plus	49	70	67	0.9592	0.8429	0.9403	62	0.914133333
24445	Minus	71	56	62	0.9437	0.9821	0.9839	63	0.9699
25219	Plus	55	68	71	0.9818	0.9706	0.9859	64.66666667	0.979433333
25220	Minus	72	57	58	0.9444	0.9649	0.9828	62.33333333	0.964033333
25274	Plus	51	71	68	0.9804	0.9296	0.9412	63.33333333	0.9504
25275	Minus	67	56	60	1	0.9821	0.95	61	0.977366667
25294	Plus	52	72	73	1	0.9444	0.9726	65.66666667	0.972333333
25295	Minus	67	60	59	0.9403	0.95	0.9492	62	0.9465
25450	Plus	53	72	72	0.9811	0.9861	0.9861	65.66666667	0.984433333
25451	Minus	70	59	59	0.9571	0.9831	0.9831	62.66666667	0.974433333
25579	Plus	54	71	71	0.9815	0.9859	1	65.33333333	0.989133333
25580	Minus	67	57	58	0.9851	0.9649	0.9828	60.66666667	0.9776
26162	Plus	50	73	63	1	0.9863	1	62	0.995433333
26163	Minus	64	60	61	0.9531	0.9333	0.918	61.66666667	0.9348
26256	Plus	47	74	61	0.9787	0.973	0.9836	60.66666667	0.978433333
26257	Minus	66	58	55	0.9545	0.9483	0.9818	59.66666667	0.961533333
26283	Plus	46	71	58	0.9565	0.9859	0.9483	58.33333333	0.963566667
26284	Minus	62	58	56	1	0.9655	0.9643	58.66666667	0.9766
26478	Plus	48	70	65	1	0.9714	0.9692	61	0.9802
26479	Minus	64	59	57	0.9531	0.9831	0.9649	60	0.967033333
26808	Plus	45	72	64	1	0.9583	0.9688	60.33333333	0.9757
26809	Minus	67	58	57	0.9552	0.9828	0.9298	60.66666667	0.955933333
27734	Plus	47	71	60	0.9787	0.9155	0.95	59.33333333	0.948066667
27735	Minus	54	61	57	0.963	0.9508	0.9474	57.33333333	0.953733333
27798	Plus	44	68	59	0.9773	0.9412	1	57	0.972833333
27799	Minus	50	60	53	0.98	1	1	54.33333333	0.993333333
27993	Plus	50	73	58	0.94	0.9178	0.9655	60.33333333	0.9411
27994	Minus	51	59	54	0.9804	0.9661	0.9444	54.66666667	0.963633333
28149	Plus	45	65	58	0.8889	0.9538	0.9655	56	0.936066667
28150	Minus	52	58	56	0.9808	0.9655	0.9643	55.33333333	0.9702
28496	Plus	50	72	60	0.96	0.9306	0.9833	60.66666667	0.957966667
28497	Minus	59	62	54	1	0.9516	0.963	58.33333333	0.971533333
28674	Plus	47	75	59	1	0.9867	0.9831	60.33333333	0.989933333
28675	Minus	54	59	52	0.9259	0.9492	0.9423	55	0.939133333
28905	Plus	48	68	57	0.8958	0.8824	0.9298	57.66666667	0.902666667
28906	Minus	57	58	49	0.9825	0.9655	1	54.66666667	0.982666667
28927	Plus	48	64	57	0.9792	0.9688	0.9649	56.33333333	0.970966667
28928	Minus	56	58	49	0.9464	0.9828	0.9388	54.33333333	0.956
29070	Plus	49	69	54	0.9796	0.9565	0.963	57.33333333	0.966366667
29071	Minus	59	59	56	0.9831	0.9831	0.9464	58	0.970866667
29120	Plus	48	73	51	0.9792	0.9315	0.9608	57.33333333	0.957166667
29121	Minus	53	58	58	0.9245	0.931	0.8793	56.33333333	0.9116
29179	Plus	40	54	53	0.65	0.7222	0.7547	49	0.708966667
29180	Minus	53	59	57	0.8868	0.8305	0.9298	56.33333333	0.882366667
29445	Plus	41	55	40	0.8049	0.8182	0.85	45.33333333	0.824366667
29446	Minus	57	63	64	0.8772	0.8889	0.875	61.33333333	0.880366667
29784	Plus	49	63	59	0.9592	0.9206	0.9831	57	0.9543
29785	Minus	59	68	70	0.9831	0.9853	0.9857	65.66666667	0.9847
30120	Plus	53	62	56	0.9623	1	1	57	0.987433333
30121	Minus	56	61	72	0.9286	0.918	0.9306	63	0.925733333
30569	Plus	57	62	54	0.9825	0.9677	0.9815	57.66666667	0.977233333
30570	Minus	58	61	66	0.9828	0.9344	0.9848	61.66666667	0.967333333
31406	Plus	55	58	59	1	0.9828	1	57.33333333	0.994266667
31407	Minus	61	63	70	0.9836	1	1	64.66666667	0.994533333
31447	Plus	56	59	58	0.9821	0.9661	1	57.66666667	0.982733333
31448	Minus	60	61	73	0.9833	1	0.9726	64.66666667	0.9853
32117	Plus	53	57	54	0.8868	0.9649	0.963	54.66666667	0.938233333
32118	Minus	59	67	75	1	0.9851	0.96	67	0.9817
34030	Plus	52	58	59	0.9231	0.9655	0.9153	56.33333333	0.934633333
34031	Minus	60	54	65	0.9667	0.9815	1	59.66666667	0.982733333
34077	Plus	53	56	61	0.9623	0.9643	0.9344	56.66666667	0.953666667
34078	Minus	59	55	67	0.9153	0.9818	0.9254	60.33333333	0.940833333
34387	Plus	53	56	62	0.8679	0.9107	0.871	57	0.8832
34388	Minus	56	56	59	0.8571	0.875	0.8475	57	0.859866667
34483	Plus	56	58	63	0.875	0.8966	0.9048	59	0.892133333
34484	Minus	58	60	61	0.9655	0.9667	0.9672	59.66666667	0.966466667
34780	Plus	60	59	64	0.85	0.8983	0.9688	61	0.9057
34781	Minus	67	61	67	0.9403	0.9672	0.9851	65	0.9642
34889	Plus	60	65	64	0.9833	0.9538	0.9844	63	0.973833333
34890	Minus	66	58	61	0.9394	0.9828	0.9344	61.66666667	0.9522
35118	Plus	58	67	59	0.9655	0.9851	0.9492	61.33333333	0.9666
35119	Minus	66	60	64	0.9545	0.95	1	63.33333333	0.968166667
35220	Plus	57	67	63	1	0.9552	0.9841	62.33333333	0.979766667
35221	Minus	65	57	63	0.9846	0.9298	0.9524	61.66666667	0.9556
35398	Plus	56	64	72	0.9821	0.9375	1	64	0.9732
35399	Minus	65	61	65	0.9846	0.9508	0.9846	63.66666667	0.973333333
35534	Plus	49	56	62	0.898	0.9286	0.9355	55.66666667	0.9207
35535	Minus	65	59	63	0.9231	0.9492	0.9206	62.33333333	0.930966667
35717	Plus	58	59	64	0.9828	0.9661	0.9844	60.33333333	0.977766667
35718	Minus	63	58	66	0.9524	0.931	0.8788	62.33333333	0.920733333
36031	Plus	52	62	69	0.9615	0.9194	1	61	0.9603
36032	Minus	62	61	66	0.9839	0.9508	0.9697	63	0.968133333
36106	Plus	49	57	62	0.9388	0.9298	0.9839	56	0.950833333
36107	Minus	61	55	63	0.8689	0.9091	0.9841	59.66666667	0.9207
36129	Plus	50	56	60	0.92	0.8571	0.9167	55.33333333	0.897933333
36130	Minus	57	49	61	0.8421	0.9796	0.9344	55.66666667	0.9187
36319	Plus	48	59	53	0.7708	0.7288	0.6604	53.33333333	0.72
36320	Minus	56	54	59	0.6607	0.7963	0.6949	56.33333333	0.7173
36329	Plus	52	61	52	0.8269	0.8197	0.9231	55	0.856566667
36330	Minus	57	58	59	0.7193	0.7586	0.7627	58	0.746866667
36571	Plus	53	65	61	0.9434	0.9846	1	59.66666667	0.976
36572	Minus	64	55	60	0.9219	0.9818	0.9333	59.66666667	0.945666667
36728	Plus	49	62	65	0.9184	0.9194	0.9692	58.66666667	0.935666667
36729	Minus	62	61	59	0.9355	0.9344	0.9492	60.66666667	0.9397
36757	Plus	53	68	67	0.9811	0.9706	0.9851	62.66666667	0.978933333
36758	Minus	64	60	59	0.9531	0.8333	0.8644	61	0.8836
36767	Plus	51	63	65	0.9608	1	0.9538	59.66666667	0.971533333
36768	Minus	63	61	59	0.9524	0.9344	0.9492	61	0.945333333
36832	Plus	54	66	65	0.9444	1	0.9692	61.66666667	0.9712
36833	Minus	64	63	59	0.9219	1	0.9661	62	0.962666667
36970	Plus	53	64	67	1	1	1	61.33333333	1
36971	Minus	63	61	60	0.9683	0.9836	0.9667	61.33333333	0.972866667
37007	Plus	51	64	65	1	0.9531	0.9538	60	0.968966667
37008	Minus	66	63	61	0.9697	0.9841	0.9508	63.33333333	0.9682
37514	Plus	51	73	73	1	0.9589	0.9863	65.66666667	0.981733333
37515	Minus	62	63	60	0.9677	1	0.9833	61.66666667	0.983666667
37780	Plus	48	71	68	0.9792	0.9577	0.9559	62.33333333	0.964266667
37781	Minus	57	58	61	1	0.9828	1	58.66666667	0.994266667
38426	Plus	55	70	67	1	0.9857	1	64	0.995233333
38427	Minus	53	54	56	0.7736	0.9259	0.8214	54.33333333	0.8403
38988	Plus	55	70	63	0.9273	0.9714	0.9841	62.66666667	0.960933333
38989	Minus	55	54	64	0.9818	1	0.9688	57.66666667	0.983533333
39110	Plus	58	67	60	1	0.9851	0.95	61.66666667	0.978366667
39111	Minus	51	55	61	1	1	0.9836	55.66666667	0.994533333
39284	Plus	56	68	60	0.9821	0.9853	0.8833	61.33333333	0.950233333
39285	Minus	50	53	53	0.98	0.9811	0.9811	52	0.980733333
39300	Plus	56	67	60	0.9286	0.9701	0.95	61	0.949566667
39301	Minus	51	55	56	1	0.9455	1	54	0.981833333
39328	Plus	53	65	55	0.9245	0.9077	0.8364	57.66666667	0.889533333
39329	Minus	51	52	55	0.9804	0.9808	0.9818	52.66666667	0.981
39524	Plus	54	68	57	0.9074	0.9559	0.9474	59.66666667	0.9369
39525	Minus	50	56	53	0.98	0.9286	0.9811	53	0.963233333
40070	Plus	54	66	70	0.9444	0.9697	0.9571	63.33333333	0.957066667
40071	Minus	53	54	55	0.9623	0.963	1	54	0.9751
40220	Plus	55	70	73	1	1	1	66	1
40221	Minus	51	57	53	0.9608	0.9123	1	53.66666667	0.9577
40778	Plus	53	72	68	0.9057	0.9583	0.9118	64.33333333	0.925266667
40779	Minus	53	54	51	0.9623	1	0.9608	52.66666667	0.974366667
40850	Plus	53	71	65	0.9811	1	0.9846	63	0.988566667
40851	Minus	51	57	49	0.8627	0.9825	0.9388	52.33333333	0.928
41017	Plus	58	68	71	1	0.9853	1	65.66666667	0.9951
41018	Minus	50	58	48	0.98	0.9483	0.9167	52	0.948333333
41330	Plus	56	67	72	0.9286	0.9552	0.9444	65	0.942733333
41331	Minus	54	62	56	1	0.9677	0.9821	57.33333333	0.983266667
41597	Plus	45	70	65	0.8	0.8714	0.7538	60	0.8084
41598	Minus	51	59	52	0.9804	0.9153	0.9423	54	0.946
41607	Plus	51	70	68	1	0.9714	0.9706	63	0.980666667
41608	Minus	54	57	56	0.9259	0.9123	0.9821	55.66666667	0.9401
41657	Plus	51	69	66	0.9608	1	0.9091	62	0.956633333
41658	Minus	55	61	56	0.9818	0.9836	1	57.33333333	0.988466667
41836	Plus	56	65	70	0.9821	0.9385	0.9286	63.66666667	0.949733333
41837	Minus	54	61	51	0.963	0.8689	1	55.33333333	0.943966667
42195	Plus	56	61	70	0.8929	0.7213	0.7571	62.33333333	0.790433333
42196	Minus	52	59	46	0.6538	0.8305	0.8261	52.33333333	0.770133333
42515	Plus	56	66	74	0.9464	0.9697	0.973	65.33333333	0.963033333
42516	Minus	55	63	52	0.9273	0.9524	0.9615	56.66666667	0.947066667
42743	Plus	58	66	75	0.9483	1	0.96	66.33333333	0.969433333
42744	Minus	51	60	59	0.9412	0.9833	0.9831	56.66666667	0.9692
42748	Plus	57	65	76	0.9649	0.9846	1	66	0.983166667
42749	Minus	55	60	58	0.9636	1	0.9828	57.66666667	0.982133333
43135	Plus	57	63	75	0.9298	0.8889	0.9867	65	0.935133333
43136	Minus	55	58	63	0.9636	0.9483	0.9206	58.66666667	0.944166667
43369	Plus	58	66	80	0.9828	0.9848	1	68	0.9892
43370	Minus	57	62	71	0.9825	0.9839	0.9859	63.33333333	0.9841
43377	Plus	57	67	76	1	1	0.9868	66.66666667	0.9956
43378	Minus	56	63	70	0.9464	1	0.9857	63	0.977366667
43759	Plus	56	62	70	0.9643	0.9032	0.9714	62.66666667	0.9463
43760	Minus	56	60	68	0.9643	1	0.9706	61.33333333	0.9783
43968	Plus	53	64	68	0.9811	1	0.9853	61.66666667	0.9888
43969	Minus	53	58	67	0.8868	0.931	0.9403	59.33333333	0.919366667
43980	Plus	54	65	69	0.9444	0.9846	0.9855	62.66666667	0.9715
43981	Minus	58	62	70	0.9138	0.9677	0.9571	63.33333333	0.9462
44049	Plus	55	65	69	0.9091	0.9385	1	63	0.9492
44050	Minus	59	62	73	0.9831	1	0.9863	64.66666667	0.9898
44094	Plus	55	64	65	0.9273	0.8594	0.9231	61.33333333	0.903266667
44095	Minus	57	61	69	0.9298	0.9672	0.9565	62.33333333	0.951166667
44129	Plus	52	65	70	0.9808	1	1	62.33333333	0.9936
44130	Minus	58	62	73	0.9828	1	0.9863	64.33333333	0.9897
44393	Plus	52	62	69	1	0.9677	0.9565	61	0.974733333
44394	Minus	54	64	70	0.9815	0.9688	0.9571	62.66666667	0.969133333
